Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.009739,0.011971,0.009739,0.011352,148115,5846550
Mar 30 2018,0.008568,0.009773,0.007747,0.009748,129731,5143630
Mar 29 2018,0.010474,0.010581,0.008451,0.008588,82505,6287710
Mar 28 2018,0.010409,0.010632,0.009847,0.010455,105736,6248280
Mar 27 2018,0.011155,0.011237,0.010089,0.010405,95901,6696450
Mar 26 2018,0.012652,0.013037,0.010089,0.011174,136996,7595150
Mar 25 2018,0.011889,0.013364,0.011232,0.012688,128141,7136820
Mar 24 2018,0.011490,0.013130,0.011315,0.012033,125783,6897360
Mar 23 2018,0.012899,0.012921,0.010938,0.011385,119207,7743360
Mar 22 2018,0.012889,0.013763,0.011931,0.012901,82765,7737130
Mar 21 2018,0.013350,0.014125,0.012282,0.012858,80114,8014140
Mar 20 2018,0.013208,0.013943,0.011761,0.013269,129729,7928470
Mar 19 2018,0.011958,0.013888,0.011251,0.013100,74729,7178430
Mar 18 2018,0.013188,0.013188,0.009063,0.012006,167908,7916860
Mar 17 2018,0.014098,0.015546,0.012655,0.013200,153949,8463000
Mar 16 2018,0.014382,0.014883,0.013601,0.014089,146509,8633430
Mar 15 2018,0.014866,0.015538,0.014005,0.014706,119475,8924130
Mar 14 2018,0.019104,0.019813,0.014799,0.014945,230014,11467800
Mar 13 2018,0.019631,0.020374,0.018814,0.019076,109320,11784400
Mar 12 2018,0.021337,0.021337,0.018028,0.019653,230176,12808400
Mar 11 2018,0.021549,0.022738,0.019582,0.021369,254473,12935500
Mar 10 2018,0.023236,0.024265,0.021175,0.021594,199502,13948600
Mar 09 2018,0.023158,0.024041,0.020276,0.023978,224829,13901900
Mar 08 2018,0.026780,0.027878,0.022263,0.022961,135048,15815700
Mar 07 2018,0.032914,0.034314,0.023474,0.027866,514584,19438100
Mar 06 2018,0.027477,0.035624,0.027332,0.033060,606599,-
Mar 05 2018,0.027775,0.029673,0.026209,0.027484,259004,-
Mar 04 2018,0.027892,0.029208,0.025402,0.027767,390232,-
Mar 03 2018,0.025203,0.028614,0.025056,0.027897,335060,-
Mar 02 2018,0.027491,0.028409,0.023386,0.025222,184003,-
Mar 01 2018,0.031409,0.031671,0.027127,0.027133,447688,-
Feb 28 2018,0.033230,0.035153,0.030697,0.031399,252222,-
Feb 27 2018,0.030349,0.035113,0.029348,0.033312,391773,-
Feb 26 2018,0.027820,0.033712,0.027126,0.031624,587552,-
