Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.119537,0.123964,0.110153,0.118696,322901,16329100
Mar 30 2018,0.134849,0.136808,0.116779,0.119775,328109,18420800
Mar 29 2018,0.165264,0.173802,0.134143,0.135198,713151,22553900
Mar 28 2018,0.170327,0.184508,0.160272,0.165501,1491760,23244800
Mar 27 2018,0.197298,0.201798,0.167357,0.169612,1542930,26925600
Mar 26 2018,0.224343,0.261739,0.183903,0.195885,5522710,30616500
Mar 25 2018,0.186550,0.279961,0.180631,0.225960,22251500,25458900
Mar 24 2018,0.210068,0.210068,0.181233,0.190493,3177940,-
Mar 23 2018,0.261562,0.261899,0.194694,0.203473,4971130,-
Mar 22 2018,0.310258,0.310258,0.248587,0.265268,5130070,-
Mar 21 2018,0.419468,0.434642,0.250782,0.302121,21597500,-
