Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.417810,0.464533,0.417810,0.432265,81535,44909300
Mar 30 2018,0.410695,0.456940,0.386178,0.429704,115601,44144500
Mar 29 2018,0.476745,0.480616,0.398669,0.411958,169999,51244100
Mar 28 2018,0.493992,0.511514,0.457560,0.476144,102913,53097900
Mar 27 2018,0.521454,0.528716,0.493350,0.494057,79370,56049600
Mar 26 2018,0.540420,0.544268,0.500688,0.522261,132745,58062600
Mar 25 2018,0.533012,0.560458,0.526062,0.530376,55551,57266800
Mar 24 2018,0.572338,0.771091,0.498715,0.540135,183168,61434700
Mar 23 2018,0.581138,0.581541,0.538963,0.575862,76665,62379300
Mar 22 2018,0.582119,0.602595,0.556436,0.581158,79567,62484500
Mar 21 2018,0.582081,0.622975,0.560677,0.582095,85219,62480500
Mar 20 2018,0.595101,0.599070,0.492861,0.580734,250658,63878100
Mar 19 2018,0.574939,0.655720,0.563929,0.603922,98063,61639400
Mar 18 2018,0.569117,0.587088,0.508949,0.574737,192731,61015300
Mar 17 2018,0.584378,0.593722,0.552790,0.570392,101142,62525700
Mar 16 2018,0.566939,0.614194,0.542711,0.583462,169187,60564200
Mar 15 2018,0.553794,0.586615,0.502408,0.581078,180278,59266900
Mar 14 2018,0.598947,0.627403,0.526897,0.556093,170437,64099200
Mar 13 2018,0.601131,0.635503,0.569878,0.598824,100375,64333000
Mar 12 2018,0.590522,0.634450,0.544922,0.604220,146953,63197500
Mar 11 2018,0.580162,0.636006,0.562526,0.592968,158995,61241300
Mar 10 2018,0.610075,0.644629,0.581246,0.582890,131642,64322600
Mar 09 2018,0.647734,0.685322,0.535358,0.610633,265736,68293200
Mar 08 2018,0.556655,0.755035,0.530160,0.647364,415144,58123200
Mar 07 2018,0.599584,0.609418,0.525020,0.556506,271314,62605600
Mar 06 2018,0.627073,0.660264,0.556574,0.597608,321976,-
Mar 05 2018,0.674349,0.856229,0.527818,0.625978,340599,-
Mar 04 2018,0.694721,0.720832,0.572858,0.674693,290312,-
Mar 03 2018,0.771315,0.793195,0.669214,0.694789,305447,-
Mar 02 2018,0.794577,0.809940,0.717649,0.772217,200320,-
Mar 01 2018,0.760542,0.849629,0.751023,0.802992,275021,-
Feb 28 2018,0.811256,0.830832,0.753125,0.759481,195243,-
Feb 27 2018,0.771848,1.48,0.764967,0.812000,376538,-
Feb 26 2018,0.692025,0.800241,0.677869,0.769643,384379,-
Feb 25 2018,0.734313,0.745931,0.678469,0.687089,195224,-
Feb 24 2018,0.773138,0.786031,0.703033,0.735667,205678,-
Feb 23 2018,0.754247,0.796118,0.731218,0.774022,270901,-
Feb 22 2018,0.817780,0.871699,0.717009,0.755051,337557,-
Feb 21 2018,0.846827,0.862629,0.774205,0.818769,476673,-
Feb 20 2018,0.946551,0.993312,0.829307,0.850094,607818,-
Feb 19 2018,0.752443,0.971738,0.745955,0.945557,768110,-
Feb 18 2018,0.922858,0.938520,0.736956,0.751551,491248,-
Feb 17 2018,1.06,1.25,0.862128,0.921476,659604,-
Feb 16 2018,0.986097,1.19,0.801832,1.05,1466600,-
Feb 15 2018,0.955503,0.964253,0.954825,0.964253,168394,-
